epoch,train_loss,val_loss
1,0.58226085,0.53988888
2,0.42590371,0.28527584
3,0.20861265,0.13136951
4,0.10998584,0.09186498
5,0.07636258,0.06873129
6,0.05501393,0.05908845
7,0.04547843,0.05312791
8,0.04027405,0.04945597
9,0.03703511,0.04649887
10,0.03473835,0.04368067
11,0.03263948,0.04153552
12,0.03101293,0.03972149
13,0.02965624,0.03766863
14,0.02831360,0.03597927
15,0.02706047,0.03480580
16,0.02592035,0.03360846
17,0.02493850,0.03184948
18,0.02373652,0.03015785
19,0.02286495,0.02927206
20,0.02195004,0.02828617
21,0.02116803,0.02745441
22,0.02068262,0.02637136
23,0.01994399,0.02543489
24,0.01938524,0.02483157
25,0.01889564,0.02424897
26,0.01853294,0.02378725
27,0.01809474,0.02321904
28,0.01774672,0.02275242
29,0.01744099,0.02228673
30,0.01718242,0.02193361
31,0.01693559,0.02174806
32,0.01671031,0.02144989
33,0.01643513,0.02128475
34,0.01621719,0.02105761
35,0.01605755,0.02080232
36,0.01589997,0.02059759
37,0.01573051,0.02046488
38,0.01552953,0.02022663
39,0.01541050,0.01995327
40,0.01521619,0.01986789
41,0.01503104,0.01963013
42,0.01488122,0.01948259
43,0.01472325,0.01969697
44,0.01460757,0.01902053
45,0.01459388,0.01877208
46,0.01435834,0.01882894
47,0.01414682,0.01886444
48,0.01416584,0.01863288
49,0.01403566,0.01845619
50,0.01387770,0.01847032
